UUID,TCGA_ID
ca8b34fa-ab70-42c1-8e81-8b28ba1a8f3a,TCGA-A8-A08R
c63a27ff-1844-4b4f-9bc7-ac4d00dc0de8,TCGA-A2-A4S3
31c69703-e318-4e31-aae8-c6cfabe61bc3,TCGA-BH-A1FC
f4cecad7-2cca-4990-9d88-115b6b201cc5,TCGA-AR-A0TV
a12e5c24-f0ea-4770-9888-20e1c562e436,TCGA-A2-A0SW
9e563a6c-1c6f-4901-a1af-f1ef2d8da025,TCGA-C8-A133
b72689a1-2c14-49db-b489-f1627353a024,TCGA-A8-A094
2f05f114-9769-48e4-978c-6bfe1f2f372f,TCGA-B6-A2IU
cd23ba96-cc18-428d-ae3d-67a7a2dd3c91,TCGA-AQ-A04J
22c90647-bf63-49e1-972a-0ff9000b674b,TCGA-A7-A6VW
e90c1051-744f-46e5-bcec-f95d34f59e0a,TCGA-LL-A5YO
553e13f9-e00e-4b05-b934-c3837ad4d02d,TCGA-A8-A08A
c7e61a1c-fad6-4fc1-ba1a-49189d4fc0f1,TCGA-A8-A0A7
a191b96c-cc06-4a58-990b-57ee27335d5c,TCGA-EW-A1P0
5c66dcbd-024b-4a7b-b3aa-bbbaaf91ae78,TCGA-A2-A1FZ
07aa7c0a-ef47-495a-93be-b23a799d71d8,TCGA-A8-A09Z
f1060adb-bee8-41f6-8997-2926d8967f33,TCGA-E9-A3HO
f9a27067-7485-4c9f-986b-878aa6cd132c,TCGA-E2-A10B
74179e5e-2d3c-417e-8844-6740ea9fb2e5,TCGA-A8-A086
e4559121-091f-41f2-9559-2abb1bbfd229,TCGA-S3-A6ZF
86538c2f-7f41-4a9b-bea5-f6126772f322,TCGA-E2-A14O
8b629c3d-0f28-4740-b681-6f064354f794,TCGA-D8-A147
29789e2c-1555-46e0-8e17-8a252933d84d,TCGA-BH-A0HP
b87ce383-9333-420c-9184-62d9d1eadabc,TCGA-S3-AA15
92914efd-97af-48e2-b097-e91129f8c1b2,TCGA-A2-A0YE
e862a544-f553-47fa-ba8b-675e0ce7c5bd,TCGA-B6-A40B
d9a1fa44-0877-423f-9beb-55f3fc936f7b,TCGA-AO-A125
0d6fbefe-4e21-4762-a476-9c899d4a94b7,TCGA-C8-A12O
934807ee-e303-43b7-938a-1721c6c31584,TCGA-A2-A0D0
42cc31fb-3bc2-4d21-b821-2d05aca800e7,TCGA-BH-A42U
75f8fbbb-2015-47cb-94f1-eb88cdfaeae6,TCGA-BH-A0BA
5c0aa745-6bad-4f9c-901b-5f0a0277b12d,TCGA-A7-A13H
3d31d7a9-76b8-41f4-a037-0dfe6a4ecb0c,TCGA-A8-A08T
9918029c-763f-4458-b929-a4db95fd5e1a,TCGA-C8-A132
040e40de-4c19-423f-98dc-151e2633d085,TCGA-BH-A0E2
db70cd04-821e-43a7-bac1-815a30172be1,TCGA-C8-A1HM
97ec0a19-d386-48fc-842c-78488b0d41f3,TCGA-E2-A3DX
8229679f-179d-42b8-a9e7-7d733fe9969e,TCGA-AC-A3W6
54aca121-5b70-4833-84ac-c7506a57bd02,TCGA-B6-A0X4
1467bc96-cad8-4011-962e-d43e6c725f63,TCGA-AR-A2LK
11d450a3-4578-4444-8ddf-613b5868b683,TCGA-OL-A5DA
fb5f0118-87fb-409f-89d8-9bd9f06867b9,TCGA-OL-A66H
ede34eaa-699a-496a-a3d3-8ef57ddbdb43,TCGA-D8-A3Z5
cfe1c805-2211-419c-bf9a-e0c8b5020dce,TCGA-BH-A208
7acbca97-f38d-4da8-8d82-53a8eb0a43ef,TCGA-A7-A26H
df539d11-132f-4320-9365-14d529ae2186,TCGA-BH-A0C3
1075d95f-6d27-42e1-a67a-73d5247c8a68,TCGA-AC-A23H
4614147d-8f49-42b0-a43d-3ef88e6f0af4,TCGA-BH-A18S
33debcbe-cd9a-422d-8214-68606f68ac5a,TCGA-AO-A0JM
682169e0-f36b-430c-896f-c93668b4ce78,TCGA-BH-A1FM
1a112735-ff30-4c94-953f-444ccad2afe2,TCGA-B6-A0RP
e8909d26-a289-4dc7-a819-5883c621efac,TCGA-GM-A2DH
9d0f51bf-a66d-4ea1-8599-2aee772c165b,TCGA-B6-A0I9
ecf14d2a-e353-4674-9b3f-f0d11bcc9900,TCGA-A2-A0EN
1924888b-3b46-4079-a403-d758975a37bd,TCGA-A8-A08O
dc76c717-eaa0-49d7-a228-2fce7a536e42,TCGA-BH-A0B9
7289e7d5-65af-4d53-a4de-2691991d90d6,TCGA-C8-A273
3a264c56-869b-4572-89d5-12894386a0de,TCGA-AC-A3QP
de57eef8-932d-4e4f-a67d-835a87d72116,TCGA-B6-A0I1
bd5e632d-9a7d-454f-838e-10b76665a4d3,TCGA-EW-A1IW
bf2a1913-2806-4b97-bcc6-e7038b900e15,TCGA-D8-A1XF
5991af25-0b64-43d2-867a-6b9713b17af9,TCGA-A7-A13E
c2fe2d79-efb1-4e4d-a297-bd6b15703d10,TCGA-D8-A145
66116a4d-210d-45f8-8dba-3f8c79566ecc,TCGA-BH-A0HI
cae39998-47d3-4a80-8acb-67d3a9518306,TCGA-E2-A1B6
9f5a0552-a0a1-4aa7-a32d-7a1951889cdd,TCGA-A2-A0YK
b7c49a13-6b0f-411a-940e-b35c17818aaa,TCGA-A8-A07O
c7066edf-43fc-4bcf-bb63-ab75860d2410,TCGA-S3-AA0Z
