,PC1,PC2,Cluster
bb10d315-6038-4513-aa41-d50f20295997,-0.960731266237149,13.13011224787827,0
02a4ccea-1464-4664-bc44-bb6569a34608,-22.7445431902195,-2.089070624546381,2
fc70931f-4a97-4538-b055-8ed988ab601c,9.919054659784686,15.83935539894781,0
e20191d9-fddf-47a3-9ff9-d4a36af7d762,8.634635350072402,38.06535720459388,0
7ca1746b-d6cc-4207-b1ed-738520928744,-11.285145563220464,-5.200552792189224,2
d1d3d623-2de6-4d6f-b2a3-a50758f46b64,18.37824092294849,39.93000789923229,0
9c1779d3-6e10-413b-9df9-a9378862d8c4,-36.775580311941496,-14.01747198330301,2
08a14e13-810a-4862-9de9-16b4fea25625,-12.070182767828793,-40.28020348350388,1
7d2b6ff4-8f35-41cf-b078-3e78d0b81800,15.966120766192752,-45.09701101646055,1
f3f0919f-f9eb-4baf-aeef-c79fbafef237,16.369177546105334,29.171795187927803,0
31c69703-e318-4e31-aae8-c6cfabe61bc3,29.767809486705243,-43.46109686608277,1
e22c6b51-c27e-468f-883c-f71918330eb0,-12.766557110996743,11.857248271783172,2
287f70d5-cb97-459f-963b-68408f92c0f3,24.980782722966236,-46.87367039480321,1
45472a71-92d9-4492-9647-f1e8adb9cdea,0.9751882769953232,10.75662599536093,0
504f8320-62f8-4205-926a-a54d042d0e98,18.929393922548066,8.269728207674369,0
3d05d072-d042-4c02-aaf6-ee2e589003d6,34.636951105356715,-45.88408052161312,1
08429604-2dc7-4827-8ba5-80818aa45a51,34.187914924344035,35.28326471770956,0
85237b9e-67a3-46a2-9c19-3818522994b2,-25.006732620700827,-14.010869345944077,2
7e6ed4fc-b4bf-46c7-9f31-24a0c32c039e,-34.99989219317899,5.791397599027298,2
574d0a5f-8cb7-4783-8d5e-b07c1b3460dc,27.157428771368288,-7.831043104863627,1
cd23ba96-cc18-428d-ae3d-67a7a2dd3c91,60.115815014875224,-4.956472453672461,1
8408e231-e0d2-4650-b269-9a7f7ff4a597,37.37641291896726,26.544834892376326,0
1d9d65b8-5af4-40e6-a01f-236f45cfecb4,-14.165796156028286,-43.500747109318034,2
87c074cd-bcd8-4280-a12e-b205f50e139c,-7.877612579566458,16.93075880619259,0
2244c5e8-a873-4e29-abb7-e869a7d79e3f,-8.939622084595944,17.095314168628807,0
0a430a9a-7e63-41d6-8cd0-1dda1e1df975,-4.659894270424471,3.578336325316943,2
c285a0ef-5076-4265-be61-98c064242718,-11.862198704492354,15.958990225452798,2
57d2c12f-e3ae-457b-b92c-22002aecdba0,5.51617057102166,12.624828874293192,0
b02ec16a-9dff-4b98-9960-73175454082a,36.198511335970316,-21.571230654993805,1
c9dffad1-99e8-40b8-8954-1e50b98a1a55,-5.615072528052695,8.147429569940876,0
c8c4129c-48ca-4df9-9ef8-bab2a794ebbf,-2.798368804631778,-37.47130317921447,1
05e15869-61fd-420f-b0e4-a2faaa814aca,12.24226914656875,25.181955269594496,0
d474de4c-c01d-46f5-92a6-7513f7a38eed,21.61967398578597,31.730904243110537,0
f2ab4258-222d-4a08-a805-3628048ebf1c,24.48908429985561,17.93147454165197,0
f1600b0c-f3ac-4c19-8c43-6af450abb6a3,15.582307368618906,28.83373794055847,0
05b55f88-290a-4abd-bbc3-44561ba1f8b7,3.132385255064723,25.78004738632856,0
fe15bb7d-6469-4778-9dc8-9e4c5877942c,27.594444278270498,-43.19189960971957,1
767425eb-9fa2-45bc-a3ad-ca8dbafd373f,12.874756668624576,-5.749204841103421,0
9b652843-9c30-4c21-8c39-ef9e21ec4ec6,-34.81084581083205,-6.9240645956172004,2
